,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_スプリント,A_総走行距離,H_スプリント,H_総走行距離,A_ゴール期待値,H_ゴール期待値
1457,11,0514,FC東京,2-1,A,味スタ,曇,柏レイソル,2017,kasw,,11,5,0,496,14,13,0,3,23,6,20,23,1,5,0,0,41,12,129,8.5%,49%,(9.1%),(74.4%),(28.6%),(78.3%),(66.7%),(75.0%),22,10,0,511,14,15,6,7,30,16,14,23,6,0,1,0,51,13,135,16.3%,51%,(9.1%),(77.7%),(7.1%),(83.3%),(50.0%),(64.3%),159,"114,159m",149,"111,365m",,
1458,12,0520,磐田,2-0,A,ヤマハ,晴,柏レイソル,2017,kasw,,15,5,0,411,16,14,4,6,30,7,29,20,1,3,0,0,40,14,130,11.5%,46.2%,(0.0%),(70.1%),(12.5%),(83.3%),(28.6%),(75.9%),12,4,0,490,16,11,3,6,14,15,27,25,0,4,2,0,45,16,122,9.8%,53.8%,(16.7%),(78.6%),(18.8%),(92.9%),(66.7%),(77.8%),195,"113,745m",186,"114,504m",,
1459,13,0527,大宮,4-2,H,柏,曇のち晴,柏レイソル,2017,kasw,,27,10,0,537,28,10,4,12,29,17,23,24,2,0,1,0,68,26,139,19.4%,56.6%,(14.8%),(78.0%),(14.3%),(75.9%),(35.3%),(56.5%),9,3,0,357,6,11,0,4,26,6,30,24,2,4,3,0,20,7,135,6.7%,43.4%,(22.2%),(64.4%),(33.3%),(92.3%),(16.7%),(70.0%),192,"113,987m",199,"117,561m",,
1460,14,0604,浦和,1-0,H,柏,曇,柏レイソル,2017,kasw,,10,4,0,423,10,21,6,5,13,12,21,23,4,2,2,0,35,11,130,7.7%,48.9%,(10.0%),(74.7%),(40.0%),(84.6%),(41.7%),(85.7%),15,3,1,429,19,18,3,6,28,22,18,12,2,6,1,0,38,15,139,10.8%,51.1%,(0.0%),(73.7%),(31.6%),(96.4%),(40.9%),(83.3%),144,"111,871m",188,"116,200m",,
1461,15,0617,甲府,0-0,A,中銀スタ,晴,柏レイソル,2017,kasw,,7,3,0,251,14,17,4,4,24,14,13,24,1,2,3,0,29,6,131,5.3%,38%,(0.0%),(57.8%),(28.6%),(83.3%),(35.7%),(76.9%),14,4,0,639,23,16,2,6,23,12,12,21,1,4,2,0,57,16,125,11.2%,62%,(0.0%),(78.9%),(17.4%),(91.3%),(33.3%),(75.0%),215,"117,006m",206,"118,538m",,
1462,16,0625,札幌,2-1,H,柏,曇,柏レイソル,2017,kasw,,15,3,1,498,20,15,3,11,39,15,13,20,3,6,1,0,53,13,125,12.0%,61.9%,(13.3%),(75.7%),(0.0%),(92.3%),(33.3%),(69.2%),12,4,0,228,10,13,6,3,17,12,16,34,5,3,3,0,23,11,110,10.9%,38.1%,(8.3%),(63.2%),(30.0%),(70.6%),(33.3%),(81.3%),110,"109,808m",146,"106,179m",,
1463,17,0702,鹿島,2-3,H,柏,晴,柏レイソル,2017,kasw,,15,5,0,414,16,10,5,4,22,17,31,18,2,3,1,0,33,18,117,12.8%,49.1%,(13.3%),(75.8%),(50.0%),(95.5%),(58.8%),(80.6%),10,3,0,379,7,18,3,4,28,14,21,15,3,4,2,0,27,13,129,7.8%,50.9%,(30.0%),(76.3%),(14.3%),(89.3%),(28.6%),(76.2%),174,"106,108m",145,"105,374m",,
1464,18,0708,Ｃ大阪,1-2,A,金鳥スタ,曇,柏レイソル,2017,kasw,,12,6,0,332,15,9,4,6,22,9,16,28,0,0,0,0,30,9,109,11.0%,39%,(16.7%),(72.9%),(46.7%),(86.4%),(33.3%),(81.3%),16,4,0,608,23,11,0,10,32,20,11,19,3,4,3,0,62,16,126,12.7%,61%,(6.3%),(82.1%),(26.1%),(87.5%),(35.0%),(81.8%),132,"107,987m",135,"111,153m",,
1465,19,0730,仙台,1-1,A,ユアスタ,曇,柏レイソル,2017,kasw,,11,5,0,438,14,10,1,5,20,23,18,24,1,3,0,0,44,8,120,9.2%,45.1%,(9.1%),(74.4%),(14.3%),(80.0%),(56.5%),(88.9%),13,5,0,596,21,13,3,3,26,15,25,22,3,2,0,0,54,15,129,10.1%,54.9%,(7.7%),(81.2%),(9.5%),(92.3%),(40.0%),(76.0%),161,"115,388m",164,"117,468m",,
1466,20,0805,神戸,3-1,H,柏,曇のち晴,柏レイソル,2017,kasw,,11,7,0,566,14,15,3,6,26,14,5,17,2,2,4,0,42,15,110,10.0%,53.8%,(27.3%),(83.4%),(14.3%),(96.2%),(28.6%),(100.0%),8,2,0,429,9,13,2,4,21,4,18,14,1,3,1,1,30,7,106,7.5%,46.2%,(12.5%),(77.6%),(33.3%),(90.5%),(75.0%),(66.7%),129,"102,007m",147,"107,654m",,
1467,21,0809,鳥栖,0-0,H,柏,曇,柏レイソル,2017,kasw,,26,5,0,544,30,9,4,14,21,12,15,25,2,3,4,2,55,22,119,21.8%,57.4%,(0.0%),(79.8%),(20.0%),(90.5%),(58.3%),(80.0%),8,2,0,303,15,16,3,4,18,6,13,45,3,4,2,0,24,12,114,7.0%,42.6%,(0.0%),(65.0%),(33.3%),(72.2%),(66.7%),(69.2%),141,"108,477m",149,"106,898m",,
1468,22,0813,清水,4-1,A,アイスタ,曇,柏レイソル,2017,kasw,,14,7,0,429,23,11,1,5,23,15,22,19,3,5,0,0,41,12,111,12.6%,45.9%,(7.1%),(76.9%),(17.4%),(95.7%),(46.7%),(72.7%),17,6,0,531,23,10,4,5,21,12,23,25,1,1,0,0,49,17,114,14.9%,54.1%,(23.5%),(81.5%),(13.0%),(90.5%),(66.7%),(73.9%),169,"111,614m",145,"112,374m",,
1469,23,0819,Ｇ大阪,1-0,A,吹田Ｓ,晴,柏レイソル,2017,kasw,,7,1,0,506,16,11,1,7,24,12,20,30,1,3,0,0,39,11,117,6.0%,51.8%,(0.0%),(78.9%),(18.8%),(100.0%),(41.7%),(70.0%),19,4,0,473,19,9,3,9,27,15,15,26,7,1,0,0,33,19,123,15.4%,48.2%,(5.3%),(78.6%),(21.1%),(92.6%),(33.3%),(80.0%),151,"104,624m",124,"105,872m",,
1470,24,0826,新潟,1-1,H,柏,曇,柏レイソル,2017,kasw,,10,2,0,334,20,18,3,10,27,13,13,25,1,2,3,1,34,17,129,7.8%,42.7%,(10.0%),(74.9%),(15.0%),(59.3%),(53.8%),(84.6%),18,4,0,457,22,9,2,5,23,14,28,37,2,2,3,0,49,18,117,15.4%,57.3%,(5.6%),(79.2%),(27.3%),(95.7%),(50.0%),(75.0%),125,"108,575m",144,"101,695m",,
1471,25,0909,浦和,2-1,A,埼玉,晴,柏レイソル,2017,kasw,,19,5,1,630,19,10,0,9,26,9,20,14,3,2,0,0,52,22,135,14.1%,63.2%,(5.3%),(80.6%),(36.8%),(96.2%),(44.4%),(85.0%),8,3,0,310,14,5,2,3,20,9,27,28,3,0,2,0,34,10,118,6.8%,36.8%,(25.0%),(64.5%),(7.1%),(75.0%),(44.4%),(74.1%),159,"111,316m",146,"112,276m",,
1472,26,0916,横浜FM,1-1,A,日産ス,雨,柏レイソル,2017,kasw,,9,2,0,460,12,20,4,1,16,10,27,25,3,2,4,0,27,14,123,7.3%,45.9%,(11.1%),(80.7%),(25.0%),(87.5%),(20.0%),(77.8%),11,4,0,594,20,16,2,4,24,19,14,14,1,4,0,0,56,15,122,9.0%,54.1%,(9.1%),(82.7%),(30.0%),(95.8%),(31.6%),(78.6%),159,"111,261m",171,"113,932m",,
1473,27,0923,FC東京,4-1,H,柏,曇一時晴,柏レイソル,2017,kasw,,19,4,0,485,24,12,2,6,23,15,27,26,2,5,2,0,40,18,125,15.2%,53.2%,(21.1%),(80.4%),(12.5%),(82.6%),(46.7%),(77.8%),12,2,1,409,9,21,5,7,23,9,24,18,1,2,2,0,28,7,131,9.2%,46.8%,(8.3%),(74.8%),(22.2%),(82.6%),(33.3%),(62.5%),169,"110,444m",177,"108,363m",,
1474,28,0930,甲府,0-1,H,柏,曇のち晴,柏レイソル,2017,kasw,,20,4,0,626,24,8,4,6,30,19,14,17,1,8,2,0,63,16,128,15.6%,64.9%,(0.0%),(81.5%),(12.5%),(90.0%),(63.2%),(71.4%),15,4,0,240,11,14,8,4,21,13,19,32,3,3,1,0,35,9,119,12.6%,35.1%,(6.7%),(62.1%),(0.0%),(85.7%),(61.5%),(68.4%),152,"109,827m",139,"106,654m",,
1475,29,1014,札幌,0-3,A,札幌厚別,晴,柏レイソル,2017,kasw,,6,3,0,296,15,20,5,3,17,9,21,36,1,2,0,0,36,13,136,4.4%,42.4%,(50.0%),(63.5%),(20.0%),(76.5%),(44.4%),(76.2%),14,4,0,522,29,15,2,8,27,23,13,14,2,5,1,0,57,23,142,9.9%,57.6%,(0.0%),(74.9%),(17.2%),(92.6%),(47.8%),(92.3%),202,"114,059m",198,"120,243m",,
1476,30,1021,大宮,1-1,A,ＮＡＣＫ,雨,柏レイソル,2017,kasw,,15,8,0,333,18,13,5,3,19,13,23,30,2,4,3,0,25,14,110,13.6%,44.4%,(6.7%),(68.8%),(33.3%),(84.2%),(38.5%),(69.6%),13,6,0,511,23,11,4,10,24,13,14,27,3,5,1,0,35,20,124,10.5%,55.6%,(7.7%),(82.6%),(30.4%),(79.2%),(38.5%),(85.7%),168,"106,706m",168,"106,704m",,
1477,31,1029,川崎Ｆ,2-2,H,柏,雨一時曇,柏レイソル,2017,kasw,,11,5,0,346,21,8,2,6,50,10,18,46,2,2,0,0,35,9,185,5.9%,47.6%,(18.2%),(37.3%),(14.3%),(76.0%),(20.0%),(72.2%),16,7,0,388,19,12,2,0,55,14,34,50,2,2,2,0,32,15,187,8.6%,52.4%,(12.5%),(47.4%),(31.6%),(76.4%),(42.9%),(85.3%),137,"108,263m",147,"108,721m",,
1478,32,1118,磐田,1-0,H,柏,曇のち雨,柏レイソル,2017,kasw,,8,2,0,543,23,12,1,10,19,16,27,24,2,6,2,0,32,8,141,5.7%,56.6%,(0.0%),(74.2%),(13.0%),(89.5%),(43.8%),(81.5%),14,3,0,373,9,9,6,3,32,12,30,26,3,1,2,0,38,14,134,10.4%,43.4%,(0.0%),(66.0%),(22.2%),(84.4%),(25.0%),(66.7%),174,"108,430m",177,"108,829m",,
1479,33,1126,鹿島,0-0,A,カシマ,晴,柏レイソル,2017,kasw,,25,7,0,421,17,12,2,13,24,16,16,17,2,3,2,0,55,31,123,20.3%,46.8%,(0.0%),(76.2%),(17.6%),(87.5%),(56.3%),(56.3%),7,1,0,520,10,16,3,8,17,12,25,35,3,1,1,0,29,9,113,6.2%,53.2%,(0.0%),(80.6%),(10.0%),(94.1%),(50.0%),(80.0%),160,"110,395m",175,"106,712m",,
1480,34,1202,広島,1-0,H,柏,晴,柏レイソル,2017,kasw,,18,6,0,600,25,10,5,7,19,16,25,27,2,1,0,0,52,18,125,14.4%,55.9%,(5.6%),(81.5%),(24.0%),(89.5%),(56.3%),(76.0%),14,3,0,473,18,15,2,3,19,14,20,20,2,5,0,0,40,17,125,11.2%,44.1%,(0.0%),(78.4%),(38.9%),(84.2%),(71.4%),(75.0%),177,"118,775m",165,"116,388m",,
1481,1,0225,仙台,0-1,A,ユアスタ,晴,柏レイソル,2018,kasw,下平　隆宏,9,3,0,452,22,13,1,7,24,13,28,23,4,2,2,0,39,8,123,7.3%,52%,(11.1%),(75.9%),(13.6%),(87.5%),(53.8%),(78.6%),14,2,0,402,14,17,2,5,22,17,18,33,2,1,4,1,34,9,120,11.7%,48%,(0.0%),(76.6%),(14.3%),(77.3%),(52.9%),(77.8%),163,"108,515m",169,"112,714m",,
1482,2,0302,横浜FM,2-0,H,三協Ｆ柏,晴,柏レイソル,2018,kasw,下平　隆宏,15,2,0,363,8,8,0,3,35,16,30,32,4,4,2,0,30,11,138,10.9%,36.4%,(6.7%),(71.3%),(25.0%),(77.1%),(62.5%),(86.7%),14,1,0,740,27,11,4,5,26,21,28,25,0,0,0,0,76,16,133,10.5%,63.6%,(0.0%),(84.7%),(18.5%),(100.0%),(38.1%),(78.6%),176,"124,723m",192,"123,143m",,
1483,3,0310,Ｃ大阪,1-1,H,三協Ｆ柏,晴,柏レイソル,2018,kasw,下平　隆宏,10,1,0,417,18,20,3,4,18,20,24,42,1,6,2,0,30,13,144,6.9%,48.2%,(10.0%),(73.6%),(22.2%),(83.3%),(60.0%),(79.2%),15,5,0,472,33,13,6,8,25,22,20,17,3,3,1,0,61,19,138,10.9%,51.8%,(6.7%),(72.2%),(12.1%),(92.0%),(40.9%),(70.0%),215,"114,626m",210,"112,117m",,
1484,4,0318,Ｇ大阪,2-2,A,吹田Ｓ,曇,柏レイソル,2018,kasw,下平　隆宏,12,5,0,639,17,5,2,2,22,15,29,19,2,0,1,0,45,16,118,10.2%,51.6%,(16.7%),(83.6%),(11.8%),(86.4%),(33.3%),(75.9%),22,7,0,543,21,12,0,7,25,12,25,27,1,2,0,0,41,26,126,17.5%,48.4%,(9.1%),(81.2%),(38.1%),(84.0%),(50.0%),(64.0%),202,"117,065m",158,"120,146m",,
1485,5,0330,神戸,2-1,H,三協Ｆ柏,晴,柏レイソル,2018,kasw,下平　隆宏,9,3,0,470,16,12,1,4,24,17,13,26,4,2,3,0,35,10,131,6.9%,43.5%,(22.2%),(74.9%),(18.8%),(91.7%),(47.1%),(92.3%),11,3,0,616,14,7,2,8,27,5,31,21,1,1,2,0,36,9,132,8.3%,56.5%,(9.1%),(81.5%),(21.4%),(85.2%),(40.0%),(61.3%),192,"123,381m",208,"119,471m",,
1486,6,0408,広島,0-1,H,三協Ｆ柏,晴のち曇,柏レイソル,2018,kasw,下平　隆宏,10,2,1,599,28,18,3,8,35,23,17,26,0,3,0,0,55,19,142,7.0%,59%,(0.0%),(78.0%),(25.0%),(94.3%),(60.9%),(64.7%),3,1,0,428,11,8,3,4,27,3,30,34,1,3,0,0,35,11,130,2.3%,41%,(33.3%),(70.8%),(9.1%),(63.0%),(66.7%),(76.7%),151,"121,707m",156,"118,343m",,
1487,7,0411,鳥栖,2-1,A,ベアスタ,曇,柏レイソル,2018,kasw,下平　隆宏,19,7,0,478,32,12,3,12,35,22,27,22,1,2,0,0,49,24,147,12.9%,49.6%,(5.3%),(71.3%),(21.9%),(94.3%),(50.0%),(63.0%),9,5,0,433,12,10,2,4,27,10,27,47,3,3,0,0,38,9,140,6.4%,50.4%,(22.2%),(72.5%),(25.0%),(96.3%),(10.0%),(77.8%),170,"117,234m",153,"117,207m",,
1488,8,0414,札幌,1-2,H,三協Ｆ柏,曇,柏レイソル,2018,kasw,下平　隆宏,9,3,0,671,22,7,2,8,28,21,26,14,0,2,1,0,55,15,125,7.2%,58.5%,(11.1%),(82.9%),(18.2%),(100.0%),(52.4%),(84.6%),13,6,0,381,17,6,2,5,18,21,30,32,2,0,1,0,33,9,114,11.4%,41.5%,(15.4%),(78.2%),(47.1%),(83.3%),(52.4%),(66.7%),150,"125,782m",185,"120,216m",,
1489,9,0422,長崎,0-1,A,トラスタ,晴,柏レイソル,2018,kasw,下平　隆宏,6,1,0,246,6,17,1,5,23,6,16,37,1,1,0,0,26,9,126,4.8%,34.7%,(16.7%),(62.2%),(0.0%),(73.9%),(66.7%),(93.8%),18,4,0,643,26,9,1,8,20,20,22,20,1,1,1,0,69,30,115,15.7%,65.3%,(0.0%),(82.4%),(11.5%),(90.0%),(50.0%),(86.4%),179,"107,925m",160,"117,389m",,
1490,10,0425,浦和,1-0,H,三協Ｆ柏,曇,柏レイソル,2018,kasw,下平　隆宏,14,6,0,470,17,16,3,2,27,14,16,34,4,1,0,0,41,9,142,9.9%,54%,(7.1%),(78.5%),(29.4%),(81.5%),(50.0%),(75.0%),11,4,0,417,19,15,1,9,32,9,19,13,2,3,0,0,39,13,147,7.5%,46%,(0.0%),(66.7%),(10.5%),(87.5%),(44.4%),(84.2%),173,"113,149m",211,"112,484m",,
1491,11,0428,清水,1-2,A,アイスタ,晴,柏レイソル,2018,kasw,下平　隆宏,12,4,0,317,14,8,0,4,24,11,24,39,1,0,1,0,30,13,124,9.7%,38.9%,(16.7%),(66.9%),(50.0%),(62.5%),(54.5%),(83.3%),18,7,0,630,23,11,0,9,34,19,17,19,1,0,1,0,53,11,134,13.4%,61.1%,(5.6%),(81.1%),(17.4%),(94.1%),(57.9%),(76.5%),192,"114,123m",184,"119,020m",,
1492,12,0502,湘南,2-1,A,ＢＭＷス,雨,柏レイソル,2018,kasw,下平　隆宏,11,4,0,352,18,12,1,8,36,11,13,28,1,2,1,0,28,10,138,8.0%,42.8%,(9.1%),(71.3%),(16.7%),(86.1%),(54.5%),(53.8%),21,9,0,469,20,9,2,4,23,15,20,40,2,1,1,0,52,24,123,17.1%,57.2%,(9.5%),(80.8%),(35.0%),(95.7%),(80.0%),(80.0%),184,"110,269m",208,"117,731m",,
1493,13,0505,磐田,1-2,H,三協Ｆ柏,晴,柏レイソル,2018,kasw,下平　隆宏,11,3,0,535,15,10,0,4,33,21,19,17,0,9,1,0,36,14,129,8.5%,54.2%,(9.1%),(77.6%),(20.0%),(100.0%),(42.9%),(68.4%),12,7,0,409,9,10,9,0,28,6,32,29,4,0,0,0,38,10,123,9.8%,45.8%,(16.7%),(77.0%),(44.4%),(92.9%),(66.7%),(81.3%),132,"115,066m",132,"111,550m",,
1494,14,0512,川崎Ｆ,1-2,H,三協Ｆ柏,晴一時曇,柏レイソル,2018,kasw,下平　隆宏,15,4,0,413,7,21,1,1,13,16,17,42,3,0,2,0,25,17,117,12.8%,41.5%,(6.7%),(79.4%),(14.3%),(92.3%),(43.8%),(70.6%),17,7,0,761,28,10,0,4,20,18,30,17,1,1,1,0,76,25,114,14.9%,58.5%,(11.8%),(87.5%),(17.9%),(85.0%),(61.1%),(76.7%),130,"110,482m",124,"109,972m",,
1495,15,0520,名古屋,3-2,A,豊田ス,晴のち曇,柏レイソル,2018,kasw,加藤　望,11,6,0,616,13,24,2,1,32,15,23,33,1,2,1,0,48,17,139,7.9%,54.3%,(18.2%),(82.5%),(15.4%),(87.5%),(46.7%),(78.3%),16,5,0,400,18,8,1,12,17,7,34,37,5,2,2,0,36,23,136,11.8%,45.7%,(18.8%),(76.8%),(16.7%),(94.1%),(57.1%),(70.6%),151,"111,354m",134,"115,329m",,
1496,16,0718,FC東京,0-1,H,三協Ｆ柏,晴,柏レイソル,2018,kasw,加藤　望,16,2,0,424,30,26,2,4,32,19,19,25,4,2,0,0,37,15,138,11.6%,49.4%,(0.0%),(72.9%),(30.0%),(71.9%),(68.4%),(63.2%),16,4,0,409,17,8,2,4,15,8,20,41,4,2,0,0,35,16,119,13.4%,50.6%,(0.0%),(74.8%),(41.2%),(100.0%),(62.5%),(95.0%),140,"110,424m",120,"106,731m",,
1497,17,0722,鹿島,2-6,A,カシマ,晴,柏レイソル,2018,kasw,加藤　望,18,9,0,472,19,14,4,2,18,11,25,26,5,1,0,0,49,21,114,15.8%,48.9%,(33.3%),(82.4%),(36.8%),(77.8%),(72.7%),(84.0%),13,3,0,513,20,11,1,4,36,22,14,24,5,4,2,0,52,12,123,10.6%,51.1%,(15.4%),(79.9%),(25.0%),(97.2%),(59.1%),(85.7%),134,"105,268m",139,"104,890m",,
1498,18,0728,神戸,0-1,A,ノエスタ,曇,柏レイソル,2018,kasw,加藤　望,16,5,0,604,13,11,0,5,23,13,19,25,1,4,0,0,51,11,112,14.3%,58.2%,(6.3%),(82.9%),(23.1%),(91.3%),(15.4%),(89.5%),14,1,0,381,16,15,4,7,19,16,15,30,1,0,1,0,35,14,112,12.5%,41.8%,(0.0%),(76.6%),(12.5%),(89.5%),(37.5%),(93.3%),137,"109,462m",129,"110,190m",,
1499,19,0801,湘南,0-2,H,三協Ｆ柏,晴,柏レイソル,2018,kasw,加藤　望,24,3,0,571,35,14,1,8,33,21,18,27,1,3,0,0,51,24,134,17.9%,62.8%,(0.0%),(78.1%),(22.9%),(90.9%),(57.1%),(94.4%),12,4,1,258,18,11,3,1,30,17,14,46,2,1,0,0,27,7,131,9.2%,37.2%,(16.7%),(61.6%),(16.7%),(86.7%),(41.2%),(85.7%),169,"119,529m",147,"109,002m",,
1500,20,0805,札幌,2-1,A,札幌ド,屋内,柏レイソル,2018,kasw,加藤　望,21,4,0,489,24,14,2,5,21,19,23,24,3,3,1,0,45,26,131,16.0%,52.2%,(4.8%),(77.5%),(37.5%),(100.0%),(57.9%),(91.3%),23,6,0,392,29,9,3,10,12,12,26,32,2,2,2,0,51,34,129,17.8%,47.8%,(8.7%),(75.8%),(44.8%),(100.0%),(75.0%),(73.1%),218,"113,932m",187,"114,816m",,
1501,21,0811,仙台,0-2,H,三協Ｆ柏,曇,柏レイソル,2018,kasw,加藤　望,15,5,0,511,22,10,1,3,22,19,13,28,2,4,0,0,64,11,116,12.9%,52.3%,(0.0%),(79.6%),(4.5%),(95.5%),(57.9%),(76.9%),14,6,0,416,13,12,4,8,22,14,22,31,1,1,0,0,31,13,126,11.1%,47.7%,(14.3%),(80.0%),(15.4%),(86.4%),(71.4%),(77.3%),111,"111,974m",161,"110,823m",,
1502,22,0815,FC東京,1-0,A,味スタ,晴,柏レイソル,2018,kasw,加藤　望,13,3,0,462,24,11,4,7,27,14,20,17,4,1,1,0,41,20,140,9.3%,52.4%,(0.0%),(74.5%),(25.0%),(88.9%),(57.1%),(85.0%),7,3,0,455,10,8,1,1,22,7,12,37,2,4,1,0,28,9,130,5.4%,47.6%,(14.3%),(76.3%),(30.0%),(95.5%),(57.1%),(83.3%),159,"106,170m",201,"110,059m",,
1503,23,0819,磐田,0-2,A,ヤマハ,晴,柏レイソル,2018,kasw,加藤　望,9,4,0,456,11,10,3,3,14,10,17,35,3,2,1,0,28,9,116,7.8%,49.6%,(22.2%),(84.0%),(9.1%),(100.0%),(10.0%),(76.5%),12,3,0,531,16,13,2,4,32,13,24,26,2,3,2,0,49,12,112,10.7%,50.4%,(0.0%),(83.2%),(37.5%),(90.6%),(23.1%),(83.3%),138,"108,974m",162,"112,121m",,
1504,24,0825,長崎,5-1,H,三協Ｆ柏,晴,柏レイソル,2018,kasw,加藤　望,14,7,0,524,16,9,2,3,24,14,15,13,5,1,0,0,30,10,111,12.6%,50.2%,(35.7%),(81.5%),(18.8%),(87.5%),(42.9%),(93.3%),7,4,0,490,11,11,1,1,20,14,21,20,1,2,0,0,41,6,105,6.7%,49.8%,(14.3%),(82.4%),(9.1%),(85.0%),(64.3%),(71.4%),139,"115,489m",169,"109,120m",,
1505,25,0901,横浜FM,1-3,A,日産ス,曇,柏レイソル,2018,kasw,加藤　望,17,6,0,559,18,14,5,7,12,18,16,24,4,3,1,0,40,15,98,17.3%,56.2%,(17.6%),(86.8%),(16.7%),(91.7%),(33.3%),(87.5%),13,1,0,423,16,15,3,8,17,18,13,26,3,4,1,0,36,20,105,12.4%,43.8%,(7.7%),(82.5%),(18.8%),(94.1%),(44.4%),(76.9%),163,"107,716m",171,"114,539m",,
1506,26,0915,清水,2-3,H,三協Ｆ柏,雨のち曇,柏レイソル,2018,kasw,加藤　望,13,3,0,506,22,9,1,4,18,18,14,21,0,0,1,0,41,12,114,11.4%,52.8%,(15.4%),(77.7%),(22.7%),(94.4%),(44.4%),(71.4%),24,8,0,402,12,16,0,3,17,19,14,25,3,1,0,0,39,22,121,19.8%,47.2%,(12.5%),(76.4%),(41.7%),(88.2%),(63.2%),(71.4%),147,"114,142m",165,"112,780m",,
1507,27,0922,鳥栖,1-1,H,三協Ｆ柏,曇のち晴,柏レイソル,2018,kasw,加藤　望,19,6,0,516,20,5,2,6,19,9,18,43,0,0,1,0,49,19,118,16.1%,51.3%,(5.3%),(78.7%),(30.0%),(78.9%),(33.3%),(72.2%),15,3,0,435,23,15,0,4,25,21,20,29,0,2,0,0,42,22,128,11.7%,48.7%,(6.7%),(73.3%),(21.7%),(96.0%),(61.9%),(75.0%),143,"109,965m",137,"111,318m",,
1508,28,0930,浦和,2-3,A,埼玉,曇のち雨,柏レイソル,2018,kasw,加藤　望,17,5,0,623,21,11,3,4,14,9,22,18,0,2,0,0,61,16,115,14.8%,57.8%,(17.6%),(82.3%),(28.6%),(92.9%),(66.7%),(81.8%),11,4,0,397,7,16,2,3,25,15,18,21,0,3,0,0,35,13,124,8.9%,42.2%,(18.2%),(76.6%),(42.9%),(92.0%),(40.0%),(77.8%),133,"112,427m",140,"111,642m",,
1509,29,1006,広島,3-0,A,Ｅスタ,曇,柏レイソル,2018,kasw,加藤　望,17,2,0,485,24,11,2,9,40,8,18,18,2,4,0,0,33,18,168,10.1%,58.4%,(0.0%),(63.9%),(25.0%),(87.5%),(75.0%),(94.4%),15,8,0,298,16,9,4,6,34,12,11,40,1,2,1,0,35,11,156,9.6%,41.6%,(20.0%),(49.3%),(37.5%),(58.8%),(50.0%),(90.9%),137,"105,609m",117,"108,535m",,
1510,30,1019,名古屋,0-1,H,三協Ｆ柏,雨時々曇,柏レイソル,2018,kasw,加藤　望,24,8,0,437,16,12,2,5,20,22,22,23,4,3,4,1,54,18,116,20.7%,46.3%,(0.0%),(78.0%),(18.8%),(95.0%),(59.1%),(77.3%),13,5,0,565,12,15,3,3,14,15,27,25,1,1,1,0,47,15,116,11.2%,53.7%,(7.7%),(83.2%),(25.0%),(92.9%),(60.0%),(74.1%),151,"113,735m",142,"108,922m",,
1511,31,1103,川崎Ｆ,0-3,A,等々力,晴一時曇,柏レイソル,2018,kasw,加藤　望,20,8,0,712,11,10,3,5,21,12,19,20,4,1,2,0,68,18,120,16.7%,59.3%,(15.0%),(86.7%),(18.2%),(95.2%),(50.0%),(73.7%),7,2,0,382,16,8,1,6,16,18,33,23,2,2,1,0,25,10,118,5.9%,40.7%,(0.0%),(73.6%),(18.8%),(93.8%),(38.9%),(78.8%),155,"109,199m",153,"108,209m",,
1512,32,1106,鹿島,2-3,H,三協Ｆ柏,雨,柏レイソル,2018,kasw,加藤　望,16,8,0,692,29,10,4,10,30,19,20,15,2,2,0,0,64,21,115,13.9%,61.3%,(12.5%),(83.2%),(17.2%),(93.3%),(42.1%),(60.0%),13,4,0,373,11,9,2,3,16,12,28,28,3,4,0,0,32,11,114,11.4%,38.7%,(23.1%),(73.5%),(9.1%),(100.0%),(33.3%),(82.1%),147,"117,013m",179,"116,598m",,
1513,33,1124,Ｃ大阪,3-0,A,ヤンマー,晴,柏レイソル,2018,kasw,岩瀬　健,14,5,0,699,30,8,1,10,30,21,13,22,2,2,0,0,62,23,137,10.2%,60.5%,(0.0%),(80.0%),(13.3%),(93.3%),(47.6%),(84.6%),16,7,0,392,20,4,2,0,20,13,19,51,3,1,0,0,39,18,115,13.9%,39.5%,(18.8%),(71.7%),(25.0%),(90.0%),(30.8%),(73.7%),184,"119,237m",181,"115,455m",,
